,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,Cortez,37.3489,-108.5859,15.02,72,100,3.09,US,1663072149
136,Deputatsky,69.3,139.9,1.36,65,99,1.44,RU,1663072150
137,Foundiougne,14.1333,-16.4667,31.03,63,86,5.32,SN,1663072152
138,Bethel,41.3712,-73.414,21.47,94,98,1.14,US,1663072153
139,Lleida,41.6167,0.6167,25.93,78,20,5.14,ES,1663072154
140,Saint George,37.1041,-113.5841,22.33,79,100,4.63,US,1663072039
141,Hermanus,-34.4187,19.2345,23.22,59,4,5.13,ZA,1663072156
142,Conde,-7.2597,-34.9075,25.7,78,75,5.14,BR,1663072158
143,Cayenne,4.9333,-52.3333,29.02,79,20,2.06,GF,1663072160
144,São Filipe,14.8961,-24.4956,26.6,81,100,3.86,CV,1663072161
145,Muhos,64.808,25.9931,14.88,58,99,3.99,FI,1663072162
146,Yerbogachën,61.2767,108.0108,5.67,82,99,4.82,RU,1663072163
147,Port Blair,11.6667,92.75,28.02,78,40,2.57,IN,1663072165
148,Kandrian,-6.2167,149.55,25.23,84,81,3.41,PG,1663072166
149,Kudahuvadhoo,2.6708,72.8944,28.19,66,10,2.75,MV,1663072167
150,Saint Paul Harbor,57.79,-152.4072,5.73,87,0,4.12,US,1663072168
151,Kumul,42.8,93.45,26.54,16,31,3.55,CN,1663072170
152,Havelock,34.8791,-76.9013,26.99,89,40,2.06,US,1663072171
153,Keti Bandar,24.1447,67.4497,31.09,67,79,6.0,PK,1663072172
154,Santa Maria,-29.6842,-53.8069,10.61,87,100,2.57,BR,1663072101
155,Carnarvon,-24.8667,113.6333,19.67,54,5,7.71,AU,1663072175
156,Petrov Val,50.1434,45.2096,14.92,57,100,8.95,RU,1663072176
157,North Platte,41.1239,-100.7654,6.94,81,0,0.0,US,1663072177
158,Katsuura,35.1333,140.3,26.01,92,93,2.62,JP,1663072178
159,Vanimo,-2.6741,141.3028,25.77,86,41,2.88,PG,1663072180
160,Majene,-3.5403,118.9707,26.33,84,64,3.22,ID,1663072181
161,Senneterre,48.3835,-77.2328,15.22,98,100,0.9,CA,1663072182
162,Hagenow,53.4333,11.1833,22.99,49,99,6.3,DE,1663072184
163,Ha Giang,22.8333,104.9833,24.14,97,99,0.46,VN,1663072185
164,Mbanza-Ngungu,-5.25,14.8667,31.66,37,66,3.24,CD,1663072186
165,Chik,54.9928,82.4311,10.86,46,0,1.0,RU,1663072189
166,Bima,-8.4667,118.7167,24.55,86,45,2.15,ID,1663072190
167,Alès,44.1333,4.0833,25.6,79,100,2.04,FR,1663072191
168,Tashtyp,52.7939,89.8983,10.9,60,93,5.02,RU,1663072193
169,Haverhill,42.7762,-71.0773,21.19,91,100,1.54,US,1663071898
170,Polunochnoye,60.8697,60.4153,12.64,58,97,4.06,RU,1663072196
171,Hūn,29.1268,15.9477,34.54,21,0,3.38,LY,1663072197
172,Baft,29.234,56.6057,23.35,29,56,4.55,IR,1663072198
173,East London,-33.0153,27.9116,20.52,52,0,5.66,ZA,1663072199
174,Gejiu,23.306,103.1635,13.35,95,63,1.54,CN,1663072201
175,Khovd,48.0056,91.6419,14.19,24,100,0.77,MN,1663072202
176,Provideniya,64.3833,-173.3,8.23,94,100,2.63,RU,1663072204
177,Lebu,-37.6167,-73.65,10.76,71,8,1.14,CL,1663072205
178,Dikson,73.5069,80.5464,3.72,74,100,7.78,RU,1663072207
179,Santiago del Estero,-27.7951,-64.2615,18.47,30,0,3.09,AR,1663072209
180,Freeport,40.6576,-73.5832,23.99,90,100,3.6,US,1663072210
181,Coquimbo,-29.9533,-71.3436,10.85,87,20,0.51,CL,1663072212
182,Toyota,35.0833,137.15,29.23,70,100,0.84,JP,1663072213
183,Sitka,57.0531,-135.33,11.94,82,75,0.0,US,1663072215
184,Ketchikan,55.3422,-131.6461,10.26,87,0,2.06,US,1663072216
185,West Wendover,40.7391,-114.0733,19.56,45,0,3.09,US,1663072218
186,Riyadh,24.6877,46.7219,44.08,6,6,2.97,SA,1663072219
187,Turukhansk,65.8167,87.9833,6.54,95,100,7.85,RU,1663072221
188,Codrington,-38.2667,141.9667,5.02,85,0,5.34,AU,1663072222
189,Kedrovyy,56.1667,91.8167,7.23,71,7,0.45,RU,1663072224
190,Divnomorskoye,44.5011,38.1353,21.18,56,5,3.77,RU,1663072225
191,Hasaki,35.7333,140.8333,24.22,91,100,1.63,JP,1663072227
192,Yuli,9.6989,10.2744,28.15,69,96,5.21,NG,1663072228
193,Mossamedes,-15.1961,12.1522,21.41,74,31,5.3,AO,1663072229
194,Kaitangata,-46.2817,169.8464,2.23,88,99,3.27,NZ,1663072231
195,Mergen,49.1833,125.2167,13.57,33,0,3.73,CN,1663072233
196,Roald,62.5833,6.1333,15.42,82,75,3.6,NO,1663072234
197,Luleå,65.5842,22.1547,13.04,94,75,5.14,SE,1663072235
198,Zheleznodorozhnyy,55.7503,38.0042,14.29,47,100,4.52,RU,1663072237
199,Vytegra,61.0064,36.4481,14.33,63,100,2.15,RU,1663072238
200,Barrow,71.2906,-156.7887,2.01,93,100,9.26,US,1663072239
201,Novoagansk,61.9449,76.6625,9.9,76,100,4.97,RU,1663072240
202,Altay,47.8667,88.1167,11.39,34,0,2.37,CN,1663072242
203,Whitianga,-36.8333,175.7,10.9,90,97,2.57,NZ,1663072243
204,Atar,20.5169,-13.0499,38.03,20,15,3.09,MR,1663072244
205,Charters Towers,-20.1,146.2667,18.02,75,0,4.43,AU,1663072245
206,Distrikt Brokopondo,4.75,-55.1667,27.67,71,19,1.81,SR,1663072247
207,Labuan,5.2767,115.2417,28.2,83,20,1.03,MY,1663072176
208,Raudeberg,61.9875,5.1352,12.2,1,100,1.9,NO,1663072249
209,Pizarro,4.9533,-77.366,25.69,83,100,1.88,CO,1663072251
210,Tessalit,20.1986,1.0114,40.65,10,18,4.15,ML,1663072252
211,Talnakh,69.4865,88.3972,1.23,100,100,1.06,RU,1663071957
212,Yellowknife,62.456,-114.3525,5.31,93,20,2.06,CA,1663072254
213,Wamba,8.9333,8.6,26.37,79,100,2.18,NG,1663072255
214,Kichera,55.9375,110.0997,6.07,85,18,1.87,RU,1663072257
215,Denpasar,-8.65,115.2167,26.81,88,20,6.69,ID,1663072108
216,Flinders,-34.5833,150.8552,9.54,78,9,1.34,AU,1663072259
217,Port Alfred,-33.5906,26.891,19.54,63,3,3.13,ZA,1663072260
218,Nikolskoye,59.7035,30.7861,17.71,56,80,3.63,RU,1663072262
219,Benguela,-12.5763,13.4055,24.19,68,34,4.12,AO,1663072264
220,Vardø,70.3705,31.1107,7.99,87,75,7.2,NO,1663072266
221,Valparaíso,-33.0393,-71.6273,12.78,93,20,2.06,CL,1663072103
222,Souillac,-20.5167,57.5167,23.21,73,75,5.66,MU,1663072268
223,Wilmington Island,32.0036,-80.9737,24.43,72,0,1.54,US,1663072270
224,Suoyarvi,62.0833,32.35,12.84,70,100,3.5,RU,1663072271
225,Beirut,33.8889,35.4944,29.65,69,0,5.32,LB,1663072272
226,Laas,46.6166,10.7002,26.49,33,47,0.97,IT,1663072273
227,Tiksi,71.6872,128.8694,4.38,83,96,4.48,RU,1663072275
228,Isabela,6.7085,121.9711,27.03,81,92,1.04,PH,1663072276
229,Sampit,-2.5333,112.95,23.08,98,100,0.97,ID,1663072278
230,Oparino,59.8518,48.2783,13.36,56,100,1.95,RU,1663072279
231,Uglekamensk,43.2172,133.2303,11.06,87,7,2.25,RU,1663072280
232,Airai,-8.9266,125.4092,15.08,83,12,1.41,TL,1663072282
233,Thompson,55.7435,-97.8558,-2.91,100,20,1.54,CA,1663072283
234,Den Helder,52.9599,4.7593,22.21,64,100,4.12,NL,1663072284
235,Duncan,34.5023,-97.9578,17.12,77,0,2.06,US,1663072286
236,Khasan,42.4308,130.6434,19.08,80,100,3.05,RU,1663072287
237,Altagracia de Orituco,9.8601,-66.3814,26.54,69,46,1.78,VE,1663072289
238,Catherinas Lust,6.4,-57.6,29.39,68,9,2.41,GY,1663072290
239,Saint-Philippe,-21.3585,55.7679,23.77,69,50,2.07,RE,1663072291
240,Tezu,27.9167,96.1667,24.78,98,38,1.02,IN,1663072293
241,Thai Binh,20.45,106.3333,27.34,75,52,2.91,VN,1663072294
242,Iguape,-24.7081,-47.5553,18.66,92,98,1.84,BR,1663072296
243,Broome,42.2506,-75.833,18.9,85,100,4.12,US,1663072297
244,Sioux Lookout,50.1001,-91.917,10.04,81,75,3.6,CA,1663072299
245,Thabazimbi,-24.5917,27.4116,28.21,23,32,4.2,ZA,1663072300
246,Paita,-5.0892,-81.1144,16.92,82,72,6.92,PE,1663072301
247,Fort Frances,48.5999,-93.4003,13.12,74,0,2.24,CA,1663072302
248,Kavieng,-2.5744,150.7967,28.31,69,79,7.93,PG,1663072304
249,Dzilam González,21.2833,-88.9333,23.87,95,100,1.06,MX,1663072305
250,Esperance,-33.8667,121.9,13.31,83,98,12.52,AU,1663072306
251,Jalingo,8.8833,11.3667,23.55,89,100,2.23,NG,1663072308
252,Evora,38.5667,-7.9,25.43,46,87,8.91,PT,1663072310
253,Kapaa,22.0752,-159.319,26.18,85,40,4.63,US,1663072312
254,Mamakan,57.8161,114.0028,6.88,96,100,5.92,RU,1663072313
255,Honningsvåg,70.9821,25.9704,8.86,61,40,3.6,NO,1663072314
256,Cabedelo,-6.9811,-34.8339,26.37,74,54,6.81,BR,1663072316
257,Maniitsoq,65.4167,-52.9,6.85,84,100,4.89,GL,1663072317
258,Poum,-20.2333,164.0167,23.62,70,100,7.91,NC,1663072318
259,São Miguel do Araguaia,-13.275,-50.1628,34.93,16,12,3.11,BR,1663072320
260,Bathsheba,13.2167,-59.5167,30.34,74,40,6.17,BB,1663072321
261,Adré,13.4667,22.2,31.48,44,100,2.91,TD,1663072323
262,Kiryat Gat,31.61,34.7642,32.44,13,0,5.78,IL,1663072324
263,Soligalich,59.0778,42.2864,15.56,43,21,2.77,RU,1663072325
264,San Policarpo,12.1791,125.5072,26.26,84,30,2.43,PH,1663072327
265,Lompoc,34.6391,-120.4579,17.54,90,100,2.57,US,1663072328
266,Khalkhāl,37.6189,48.5258,26.99,13,0,5.69,IR,1663072330
267,Korla,41.7597,86.1469,27.82,17,100,4.98,CN,1663072331
268,Tura,25.5198,90.2201,21.53,98,100,1.92,IN,1663072333
269,Lagoa,39.05,-27.9833,22.16,85,100,0.98,PT,1663072334
270,Kharp,66.8014,65.8081,5.76,90,100,1.04,RU,1663072335
271,Kuytun,54.3419,101.5036,5.66,66,100,1.84,RU,1663072337
272,Balad,34.0164,44.1453,42.94,8,0,4.25,IQ,1663072338
273,Hofn,64.2539,-15.2082,10.97,71,100,1.45,IS,1663072340
274,Yaoundé,3.8667,11.5167,25.74,78,75,1.54,CM,1663072341
275,Palmer,42.1584,-72.3287,20.98,88,100,0.0,US,1663072342
276,San Cristobal,7.7669,-72.225,20.1,79,31,1.61,VE,1663072344
277,Paamiut,61.994,-49.6678,7.07,60,0,1.74,GL,1663072345
278,Waipawa,-41.4122,175.5153,8.18,67,0,7.4,NZ,1663072346
279,Tuatapere,-46.1333,167.6833,3.95,88,99,2.03,NZ,1663072349
280,Comodoro Rivadavia,-45.8667,-67.5,8.92,49,40,3.09,AR,1663072093
281,Shimoda,34.6667,138.95,22.84,89,99,3.08,JP,1663072351
282,Shingū,33.7333,135.9833,24.77,92,98,2.81,JP,1663072354
283,Kiunga,-6.1219,141.2906,23.05,98,37,1.01,PG,1663072356
284,Terme,41.2092,36.9739,23.96,69,98,2.23,TR,1663072357
285,Lüderitz,-26.6481,15.1594,27.39,29,97,2.53,NA,1663072358
286,Varadero,23.1536,-81.2514,24.42,82,25,3.56,CU,1663072263
287,Guerrero Negro,27.9769,-114.0611,21.52,89,0,3.86,MX,1663072361
288,São João da Barra,-21.6403,-41.0511,24.05,74,10,5.27,BR,1663072363
289,Acapulco de Juárez,16.8634,-99.8901,24.9,88,75,1.54,MX,1663072197
290,Kachīry,53.0675,76.1036,11.57,39,70,2.18,KZ,1663072366
291,Port Hedland,-20.3167,118.5667,23.03,68,0,5.66,AU,1663072367
292,La Libertad,-2.2333,-80.9,18.81,94,100,3.09,EC,1663072369
293,Dingle,10.9995,122.6711,25.06,88,99,1.99,PH,1663072370
294,Xaçmaz,41.4635,48.806,25.54,62,0,6.18,AZ,1663072371
295,Chernyshevskiy,63.0128,112.4714,3.63,89,100,5.59,RU,1663072373
296,Puri,19.8,85.85,27.29,82,100,9.7,IN,1663072374
297,Pevek,69.7008,170.3133,1.59,89,100,2.53,RU,1663072376
298,Berovo,41.7031,22.8578,20.36,33,2,4.62,MK,1663072124
299,Tuy Hoa,13.0833,109.3,26.72,85,82,1.4,VN,1663072379
300,South Lake Tahoe,38.9332,-119.9844,12.92,87,100,1.54,US,1663072291
